Index,BRK-B.Open,BRK-B.High,BRK-B.Low,BRK-B.Close,BRK-B.Volume,BRK-B.Adjusted
2016-04-22,145.320007324219,146.389999389648,144.970001220703,146.110000610352,2692400,146.110000610352
2016-04-25,145.649993896484,146.369995117188,145.5,146.179992675781,2198700,146.179992675781
2016-04-26,146.589996337891,147.160003662109,146.300003051758,147.020004272461,2942600,147.020004272461
2016-04-27,146.899993896484,148.029998779297,146.5,147.600006103516,2991400,147.600006103516
2016-04-28,146.639999389648,147.460006713867,145.759994506836,146.070007324219,2498100,146.070007324219
2016-04-29,145.399993896484,146.220001220703,144.520004272461,145.479995727539,3895600,145.479995727539
2016-05-02,145.770004272461,147.139999389648,145.690002441406,146.889999389648,2774600,146.889999389648
2016-05-03,145.910003662109,146.089996337891,144.080001831055,144.830001831055,3551500,144.830001831055
2016-05-04,144.160003662109,144.399993896484,143.330001831055,144.240005493164,2483200,144.240005493164
2016-05-05,144.220001220703,144.820007324219,143.479995727539,143.880004882812,2438200,143.880004882812
2016-05-06,143.820007324219,144.839996337891,143.330001831055,144.619995117188,2288100,144.619995117188
2016-05-09,144.539993286133,144.539993286133,141.919998168945,142.910003662109,3644600,142.910003662109
2016-05-10,143.309997558594,144.899993896484,143.25,144.779998779297,3131000,144.779998779297
2016-05-11,144.880004882812,144.979995727539,142.75,142.869995117188,2939900,142.869995117188
2016-05-12,143.460006713867,143.720001220703,142.309997558594,143.309997558594,2431200,143.309997558594
2016-05-13,143.210006713867,143.699996948242,141.130004882812,141.399993896484,3232100,141.399993896484
2016-05-16,141.399993896484,142.149993896484,141.210006713867,141.850006103516,2873300,141.850006103516
2016-05-17,141.970001220703,141.990005493164,139.899993896484,140.339996337891,3963900,140.339996337891
2016-05-18,140.179992675781,141.850006103516,139.949996948242,141.470001220703,2917800,141.470001220703
2016-05-19,141.070007324219,141.649993896484,139.679992675781,140.789993286133,2803700,140.789993286133
2016-05-20,141.479995727539,142.490005493164,141.160003662109,141.830001831055,3171000,141.830001831055
2016-05-23,141.850006103516,142,141.050003051758,141.479995727539,2049000,141.479995727539
2016-05-24,141.949996948242,144.050003051758,141.729995727539,143.710006713867,3268800,143.710006713867
2016-05-25,143.720001220703,144.940002441406,143.720001220703,144.080001831055,2933900,144.080001831055
2016-05-26,144,144.190002441406,142.880004882812,143.050003051758,2742000,143.050003051758
2016-05-27,143.490005493164,143.619995117188,142.770004272461,143.350006103516,2289900,143.350006103516
2016-05-31,143.889999389648,144.139999389648,140.539993286133,140.539993286133,6564700,140.539993286133
2016-06-01,140.970001220703,142.089996337891,140.369995117188,141.990005493164,3278000,141.990005493164
2016-06-02,141.649993896484,142.110000610352,140.960006713867,142.110000610352,2757300,142.110000610352
2016-06-03,141.160003662109,141.520004272461,140.110000610352,141.139999389648,3153300,141.139999389648
2016-06-06,141.619995117188,142.5,141.389999389648,141.820007324219,2686300,141.820007324219
2016-06-07,142.160003662109,142.490005493164,141.389999389648,141.410003662109,2729800,141.410003662109
2016-06-08,141.570007324219,142.690002441406,141.529998779297,142.529998779297,2390600,142.529998779297
2016-06-09,142.050003051758,142.509994506836,141.160003662109,142.229995727539,2187000,142.229995727539
2016-06-10,141.309997558594,142.360000610352,141.240005493164,141.759994506836,2579800,141.759994506836
2016-06-13,141.229995727539,142.649993896484,140.940002441406,140.940002441406,2973600,140.940002441406
2016-06-14,140.789993286133,141.550003051758,140.509994506836,141.300003051758,3476000,141.300003051758
2016-06-15,141.740005493164,142.169998168945,140.320007324219,140.449996948242,3219700,140.449996948242
2016-06-16,140.089996337891,142.050003051758,138.960006713867,141.990005493164,3639800,141.990005493164
2016-06-17,141.979995727539,142,140.449996948242,140.729995727539,5394100,140.729995727539
2016-06-20,141.960006713867,142.940002441406,141.630004882812,141.669998168945,4038700,141.669998168945
2016-06-21,142.059997558594,143.630004882812,141.850006103516,143.529998779297,3677400,143.529998779297
2016-06-22,143.630004882812,144.660003662109,143.570007324219,143.940002441406,3659700,143.940002441406
2016-06-23,144.970001220703,146,144.600006103516,145.979995727539,4493600,145.979995727539
2016-06-24,140.740005493164,142,139.470001220703,139.710006713867,12476300,139.710006713867
2016-06-27,138.789993286133,139,136.649993896484,138.5,6328200,138.5
2016-06-28,139.789993286133,140.360000610352,138.289993286133,140.279998779297,5312300,140.279998779297
2016-06-29,141.300003051758,142.119995117188,139.910003662109,142.119995117188,4257100,142.119995117188
2016-06-30,142.210006713867,144.820007324219,142.100006103516,144.789993286133,5196400,144.789993286133
2016-07-01,144.589996337891,144.830001831055,143.75,143.960006713867,2874400,143.960006713867
2016-07-05,143.190002441406,143.559997558594,141.759994506836,142.229995727539,3426300,142.229995727539
2016-07-06,141.899993896484,142.639999389648,140.949996948242,142.509994506836,2804700,142.509994506836
2016-07-07,142.380004882812,143.039993286133,141.190002441406,141.910003662109,2863600,141.910003662109
2016-07-08,143.350006103516,143.740005493164,142.720001220703,143.649993896484,3718100,143.649993896484
2016-07-11,143.75,144.229995727539,143.429992675781,143.929992675781,3194200,143.929992675781
2016-07-12,144.529998779297,145.029998779297,143.979995727539,144.669998168945,3158100,144.669998168945
2016-07-13,144.880004882812,145.990005493164,144.410003662109,145.929992675781,3274500,145.929992675781
2016-07-14,146.25,146.660003662109,145.460006713867,145.729995727539,3322200,145.729995727539
2016-07-15,146.25,146.440002441406,145.119995117188,145.970001220703,3860800,145.970001220703
2016-07-18,146,146.710006713867,146,146.570007324219,3128000,146.570007324219
2016-07-19,146.059997558594,146.990005493164,145.850006103516,146.919998168945,3543300,146.919998168945
2016-07-20,146.809997558594,146.940002441406,145.699996948242,146.169998168945,2855300,146.169998168945
2016-07-21,146.009994506836,146.220001220703,144.190002441406,144.350006103516,3212200,144.350006103516
2016-07-22,144.720001220703,144.850006103516,143.889999389648,144.600006103516,3142000,144.600006103516
2016-07-25,144.869995117188,145,143.600006103516,144.139999389648,2483900,144.139999389648
2016-07-26,144.339996337891,144.850006103516,143.830001831055,144.339996337891,2466400,144.339996337891
2016-07-27,144.270004272461,144.75,143.699996948242,144.190002441406,2611700,144.190002441406
2016-07-28,143.919998168945,144.690002441406,143.479995727539,144.419998168945,1944600,144.419998168945
2016-07-29,144.089996337891,144.600006103516,143.779998779297,144.270004272461,2589300,144.270004272461
2016-08-01,144.619995117188,144.770004272461,143.580001831055,143.929992675781,2051300,143.929992675781
2016-08-02,143.949996948242,143.990005493164,142.960006713867,143.309997558594,2457000,143.309997558594
2016-08-03,143.350006103516,143.880004882812,142.979995727539,143.630004882812,2217100,143.630004882812
2016-08-04,143.800003051758,143.910003662109,142.919998168945,143.119995117188,1848600,143.119995117188
2016-08-05,144,145.649993896484,143.919998168945,145.649993896484,3926000,145.649993896484
2016-08-08,145.289993286133,145.649993896484,144.229995727539,145.559997558594,3516300,145.559997558594
2016-08-09,145.960006713867,147.449996948242,145.449996948242,147.220001220703,3680500,147.220001220703
2016-08-10,147,147.270004272461,146.130004882812,146.690002441406,2465200,146.690002441406
2016-08-11,146.460006713867,147.979995727539,146.440002441406,147.740005493164,3272200,147.740005493164
2016-08-12,147.119995117188,147.75,146.690002441406,147.720001220703,2586700,147.720001220703
2016-08-15,147.720001220703,147.919998168945,147.119995117188,147.779998779297,2195800,147.779998779297
2016-08-16,147.619995117188,147.949996948242,147.220001220703,147.240005493164,2121300,147.240005493164
2016-08-17,147.419998168945,149.330001831055,147,149.080001831055,3044200,149.080001831055
2016-08-18,149.190002441406,149.360000610352,148.529998779297,148.809997558594,2185400,148.809997558594
2016-08-19,148.399993896484,148.839996337891,147.789993286133,148.75,2641200,148.75
2016-08-22,148.509994506836,148.800003051758,147.850006103516,148.449996948242,1765000,148.449996948242
2016-08-23,148.580001831055,149.240005493164,148.580001831055,148.770004272461,2019100,148.770004272461
2016-08-24,148.5,148.839996337891,148.130004882812,148.410003662109,2269400,148.410003662109
2016-08-25,148.240005493164,148.710006713867,148.110000610352,148.639999389648,2449700,148.639999389648
2016-08-26,148.649993896484,149.229995727539,147.220001220703,147.910003662109,2872800,147.910003662109
2016-08-29,148.229995727539,149.679992675781,148,149.300003051758,2726600,149.300003051758
2016-08-30,149.25,150.240005493164,149.229995727539,150.229995727539,2832200,150.229995727539
2016-08-31,150,150.899993896484,148.660003662109,150.490005493164,5338700,150.490005493164
2016-09-01,150.699996948242,151,148.820007324219,150.350006103516,3020800,150.350006103516
