Index,SYGEU.JO.Open,SYGEU.JO.High,SYGEU.JO.Low,SYGEU.JO.Close,SYGEU.JO.Volume,SYGEU.JO.Adjusted
2023-12-14,9170.8017578125,9170.8017578125,9170.8017578125,9170.8017578125,0,9169.375
2023-12-18,9221.38671875,9221.38671875,9221.38671875,9221.38671875,0,9219.9521484375
2023-12-19,9158.0849609375,9158.0849609375,9158.0849609375,9158.0849609375,0,9156.66015625
2023-12-20,9109.5419921875,9109.5419921875,9109.5419921875,9109.5419921875,0,9108.125
2023-12-21,9135.513671875,9135.513671875,9135.513671875,9135.513671875,0,9134.0927734375
2023-12-22,9236.0478515625,9236.0478515625,9236.0478515625,9236.0478515625,0,9234.611328125
2023-12-27,9246.9462890625,9246.9462890625,9246.9462890625,9246.9462890625,0,9245.5078125
2023-12-28,9278.9052734375,9278.9052734375,9278.9052734375,9278.9052734375,0,9277.4619140625
2023-12-29,9157.439453125,9157.439453125,9157.439453125,9157.439453125,0,9156.0146484375
2024-01-02,9201.1083984375,9201.1083984375,9201.1083984375,9201.1083984375,0,9199.6767578125
2024-01-03,9145.197265625,9145.197265625,9145.197265625,9145.197265625,0,9143.7744140625
2024-01-04,9199.7802734375,9199.7802734375,9199.7802734375,9199.7802734375,0,9198.3486328125
2024-01-05,9151.779296875,9151.779296875,9151.779296875,9151.779296875,0,9150.35546875
2024-01-08,9182.5849609375,9182.5849609375,9182.5849609375,9182.5849609375,0,9181.15625
2024-01-09,9142.14453125,9142.14453125,9142.14453125,9142.14453125,0,9140.7216796875
2024-01-10,9178.16796875,9178.16796875,9178.16796875,9178.16796875,0,9176.740234375
2024-01-11,9109,9109,9109,9109,0,9107.5830078125
2024-01-12,9155.2646484375,9155.2646484375,9155.2646484375,9155.2646484375,0,9153.83984375
2024-01-15,9150.41796875,9150.41796875,9150.41796875,9150.41796875,0,9148.994140625
2024-01-16,9202.7177734375,9202.7177734375,9202.7177734375,9202.7177734375,0,9201.2861328125
2024-01-17,9177.7998046875,9177.7998046875,9177.7998046875,9177.7998046875,0,9176.3720703125
2024-01-18,9191.5224609375,9191.5224609375,9191.5224609375,9191.5224609375,0,9190.0927734375
2024-01-19,9242.615234375,9242.615234375,9242.615234375,9242.615234375,0,9241.177734375
