Index,VOO.Open,VOO.High,VOO.Low,VOO.Close,VOO.Volume,VOO.Adjusted
2016-05-20,187.970001220703,189.050003051758,187.899993896484,188.490005493164,1588700,161.359573364258
2016-05-23,188.479995727539,188.779998779297,188.020004272461,188.240005493164,1415400,161.1455078125
2016-05-24,189.130004882812,191.009994506836,189.080001831055,190.630004882812,1985400,163.191482543945
2016-05-25,191.380004882812,192.419998168945,191.360000610352,191.929992675781,2006700,164.30436706543
2016-05-26,192.139999389648,192.360000610352,191.679992675781,192.020004272461,1225300,164.381408691406
2016-05-27,192.190002441406,192.830001831055,192.160003662109,192.770004272461,988600,165.023483276367
2016-05-31,193.160003662109,193.270004272461,191.880004882812,192.539993286133,2821900,164.826553344727
2016-06-01,191.880004882812,193.059997558594,191.630004882812,192.899993896484,2375500,165.134780883789
2016-06-02,192.449996948242,193.479995727539,191.919998168945,193.479995727539,1601700,165.631286621094
2016-06-03,192.850006103516,193.259994506836,191.589996337891,192.919998168945,1897100,165.151870727539
2016-06-06,193.289993286133,194.240005493164,193.119995117188,193.850006103516,1177600,165.948028564453
2016-06-07,194.050003051758,194.779998779297,194.020004272461,194.199996948242,1551200,166.247589111328
2016-06-08,194.339996337891,194.949996948242,194.210006713867,194.839996337891,1041100,166.795501708984
2016-06-09,194.020004272461,194.690002441406,193.75,194.539993286133,1521600,166.538711547852
2016-06-10,193.070007324219,193.429992675781,192.119995117188,192.669998168945,1932900,164.937850952148
2016-06-13,192.029998779297,192.970001220703,191.119995117188,191.220001220703,2318200,163.696594238281
2016-06-14,190.830001831055,191.449996948242,189.800003051758,190.800003051758,2051200,163.337066650391
2016-06-15,191.259994506836,191.960006713867,190.360000610352,190.520004272461,1590700,163.097305297852
2016-06-16,189.600006103516,191.330001831055,188.570007324219,191.139999389648,2744400,163.628082275391
2016-06-17,191.100006103516,191.100006103516,189.729995727539,190.429992675781,1701000,163.020294189453
2016-06-20,192.559997558594,193.259994506836,191.559997558594,191.649993896484,1192800,164.064712524414
2016-06-21,191.149993896484,191.649993896484,190.649993896484,191.240005493164,1826500,164.531829833984
2016-06-22,191.449996948242,192.210006713867,190.779998779297,190.919998168945,2245900,164.256546020508
2016-06-23,192.520004272461,193.440002441406,192,193.389999389648,2582200,166.381607055664
2016-06-24,187,189.820007324219,186,186.339996337891,10310500,160.316116333008
2016-06-27,185.059997558594,185.059997558594,182.270004272461,183.050003051758,7717000,157.485626220703
2016-06-28,184.869995117188,186.440002441406,184.529998779297,186.429992675781,4475900,160.393600463867
2016-06-29,187.949996948242,189.860000610352,187.860000610352,189.639999389648,4147800,163.155288696289
2016-06-30,190.130004882812,192.240005493164,189.529998779297,192.199996948242,3822200,165.357788085938
2016-07-01,192.089996337891,193.119995117188,192.070007324219,192.600006103516,2170900,165.701904296875
2016-07-05,191.729995727539,191.820007324219,190.570007324219,191.25,2233000,164.540420532227
2016-07-06,190.710006713867,192.490005493164,189.970001220703,192.380004882812,2197800,165.512649536133
2016-07-07,192.559997558594,193.259994506836,191.440002441406,192.25,1704900,165.400802612305
2016-07-08,193.630004882812,195.360000610352,193.410003662109,195.169998168945,2048200,167.913009643555
2016-07-11,195.619995117188,196.410003662109,195.410003662109,195.850006103516,3590400,168.498077392578
2016-07-12,196.839996337891,197.539993286133,196.589996337891,197.229995727539,2356700,169.685256958008
2016-07-13,197.690002441406,197.690002441406,196.690002441406,197.160003662109,2767300,169.625061035156
2016-07-14,198.580001831055,198.800003051758,197.889999389648,198.309997558594,3691100,170.614440917969
2016-07-15,198.929992675781,198.929992675781,197.559997558594,198.009994506836,2346500,170.356338500977
2016-07-18,198.149993896484,198.740005493164,197.899993896484,198.580001831055,1155700,170.846725463867
2016-07-19,198.130004882812,198.389999389648,197.880004882812,198.360000610352,1003200,170.657516479492
2016-07-20,198.919998168945,199.440002441406,198.410003662109,199.160003662109,1096900,171.345764160156
