Index,NET.Open,NET.High,NET.Low,NET.Close,NET.Volume,NET.Adjusted
2020-04-07,24,24.1000003814697,22.3999996185303,22.7999992370605,1769600,22.7999992370605
2020-04-08,23.0200004577637,23.2000007629395,22.5,22.8400001525879,2085900,22.8400001525879
2020-04-09,23,23.0799999237061,21.1800003051758,21.1800003051758,3297800,21.1800003051758
2020-04-13,21.3500003814697,23.8400001525879,21.3099994659424,23.6200008392334,4283400,23.6200008392334
2020-04-14,23.2000007629395,24,22.5419998168945,22.9099998474121,3257300,22.9099998474121
2020-04-15,22.9099998474121,23.9799995422363,22.5100002288818,23.8899993896484,2231400,23.8899993896484
2020-04-16,24,25.8999996185303,23.8999996185303,25.4200000762939,3912900,25.4200000762939
2020-04-17,25,25,23.6299991607666,24.8299999237061,5107000,24.8299999237061
2020-04-20,25,27.5900001525879,24.8400001525879,26.1800003051758,6178300,26.1800003051758
2020-04-21,26.25,26.5,23.0200004577637,23.9400005340576,5186300,23.9400005340576
2020-04-22,24.6599998474121,25.25,24,24.6100006103516,3103800,24.6100006103516
2020-04-23,24.5799999237061,25.25,23.6200008392334,23.7299995422363,2432600,23.7299995422363
2020-04-24,23.4200000762939,24.1299991607666,23.2399997711182,23.2800006866455,3521200,23.2800006866455
2020-04-27,23.9099998474121,24.7800006866455,23.5499992370605,24.4699993133545,2338200,24.4699993133545
2020-04-28,24.5,24.75,23,23.4699993133545,7241500,23.4699993133545
2020-04-29,23.4699993133545,23.9899997711182,22.5,23.7800006866455,6896400,23.7800006866455
2020-04-30,23.8199996948242,24.5590000152588,23.3500003814697,23.5599994659424,2474600,23.5599994659424
2020-05-01,23.1700000762939,23.7299995422363,22.3500003814697,22.8400001525879,1911000,22.8400001525879
2020-05-04,22.8799991607666,23.8099994659424,22.5300006866455,23.6700000762939,2041600,23.6700000762939
2020-05-05,24.4099998474121,24.7099990844727,23.8199996948242,24.5100002288818,2034800,24.5100002288818
2020-05-06,24.7000007629395,25.25,24.2600002288818,24.9500007629395,2177400,24.9500007629395
