Index,SNOW.Open,SNOW.High,SNOW.Low,SNOW.Close,SNOW.Volume,SNOW.Adjusted
2024-06-14,126.099998474121,128.889999389648,124.690002441406,127.169998168945,6820100,127.169998168945
2024-06-17,126.459999084473,131.789993286133,125.650001525879,130.669998168945,6477600,130.669998168945
2024-06-18,130.110000610352,131.138000488281,126.559997558594,127.599998474121,5982700,127.599998474121
2024-06-20,127,127.400001525879,125.319999694824,126.620002746582,6156700,126.620002746582
2024-06-21,125.680000305176,128.270004272461,124.699996948242,127.800003051758,13047000,127.800003051758
2024-06-24,126.690002441406,126.974998474121,124.400001525879,124.800003051758,6863400,124.800003051758
2024-06-25,125,125.800003051758,122.599998474121,124.209999084473,9696400,124.209999084473
2024-06-26,123.680000305176,130.820007324219,122.680000305176,129.130004882812,10888500,129.130004882812
2024-06-27,129.130004882812,134.639999389648,128.679992675781,133.919998168945,8488900,133.919998168945
2024-06-28,133.550003051758,135.729995727539,133.550003051758,135.089996337891,8129300,135.089996337891
2024-07-01,138.320007324219,142.970001220703,135.729995727539,142.770004272461,9889100,142.770004272461
2024-07-02,142.660003662109,144.679992675781,140.695007324219,141.919998168945,6648600,141.919998168945
2024-07-03,141.960006713867,143.720001220703,140.710006713867,142.860000610352,3290900,142.860000610352
2024-07-05,142.979995727539,146.460006713867,142.610000610352,143.020004272461,6164600,143.020004272461
2024-07-08,143.309997558594,143.436004638672,140.889999389648,141.570007324219,4480600,141.570007324219
2024-07-09,140.369995117188,141.360000610352,136.259994506836,137.460006713867,6544500,137.460006713867
2024-07-10,137.460006713867,137.979995727539,133.169998168945,137.5,5835300,137.5
2024-07-11,139,142.100006103516,136.343994140625,138.179992675781,5994100,138.179992675781
2024-07-12,133.949996948242,137.460006713867,132.199996948242,135.75,8103600,135.75
2024-07-15,135.919998168945,136.330001831055,132.800003051758,133.720001220703,5533600,133.720001220703
2024-07-16,135,138.139999389648,134.470001220703,136.210006713867,3704700,136.210006713867
2024-07-17,134,138.399993896484,133.259994506836,135.100006103516,6156200,135.100006103516
2024-07-18,135.029998779297,136.679992675781,129.75,129.839996337891,3869900,129.839996337891
2024-07-19,129.830001831055,130.880004882812,128.869995117188,129.850006103516,3411200,129.850006103516
2024-07-22,130.690002441406,132.649993896484,129.619995117188,131.149993896484,3802100,131.149993896484
2024-07-23,131.25,134.169998168945,130.380004882812,132.600006103516,3254200,132.600006103516
2024-07-24,131,131.813003540039,125.540000915527,125.620002746582,6000700,125.620002746582
2024-07-25,126.269996643066,132.990005493164,125.5,129.589996337891,5349100,129.589996337891
2024-07-26,130.529998779297,131.375,128.044006347656,129,3377900,129
2024-07-29,130,130.570007324219,128.399993896484,129.570007324219,3955300,129.570007324219
2024-07-30,128.539993286133,131.410003662109,126.675003051758,128.880004882812,6475300,128.880004882812
2024-07-31,129.350006103516,132.550003051758,128.770004272461,130.380004882812,5498300,130.380004882812
2024-08-01,129.399993896484,129.789993286133,121.449996948242,124.199996948242,7684800,124.199996948242
2024-08-02,120.900001525879,121.650001525879,116.889999389648,119.769996643066,8260300,119.769996643066
2024-08-05,107.930000305176,115.709999084473,107.930000305176,112.629997253418,6874200,112.629997253418
2024-08-06,114.639999389648,117.319999694824,113.330001831055,114.819999694824,5342600,114.819999694824
2024-08-07,117.51000213623,121.529998779297,115.050003051758,115.099998474121,5616900,115.099998474121
2024-08-08,118.050003051758,122.059997558594,117.279998779297,121.599998474121,4556400,121.599998474121
2024-08-09,121.059997558594,124.629997253418,120.470001220703,124.410003662109,3685900,124.410003662109
2024-08-12,125.290000915527,126.190002441406,121.949996948242,123.029998779297,2662600,123.029998779297
2024-08-13,123.269996643066,127.769996643066,122.849998474121,127.059997558594,3797600,127.059997558594
2024-08-14,127.559997558594,128.110000610352,125.190002441406,127.300003051758,3289000,127.300003051758
2024-08-15,124,128.654998779297,123.98999786377,127.050003051758,8167900,127.050003051758
2024-08-16,125,128.639999389648,124.730003356934,128.039993286133,6261900,128.039993286133
2024-08-19,128.559997558594,132.660003662109,128.25,131.419998168945,5326400,131.419998168945
2024-08-20,131.429992675781,133.669998168945,130.759994506836,131.919998168945,4929400,131.919998168945
2024-08-21,132.759994506836,135.720001220703,130.660003662109,135.059997558594,16443000,135.059997558594
2024-08-22,122.099998474121,123.980003356934,115.139999389648,115.209999084473,37236900,115.209999084473
2024-08-23,117.129997253418,117.300003051758,113.23999786377,115.860000610352,16772600,115.860000610352
2024-08-26,115.050003051758,120.029998779297,114.849998474121,118,12690100,118
2024-08-27,117.830001831055,118.982002258301,115.319999694824,115.540000915527,6461800,115.540000915527
2024-08-28,114.930000305176,115.680000305176,110.26000213623,111.559997558594,7769900,111.559997558594
2024-08-29,112.449996948242,117.080001831055,112.449996948242,114.139999389648,6871400,114.139999389648
2024-08-30,115.379997253418,115.919998168945,112.53099822998,114.230003356934,5217200,114.230003356934
2024-09-03,113.059997558594,114.730003356934,109.370002746582,110.410003662109,6277500,110.410003662109
2024-09-04,110,112.870002746582,109.400001525879,110.800003051758,3727700,110.800003051758
2024-09-05,110.040000915527,113.790000915527,110,111.75,3891500,111.75
2024-09-06,112.279998779297,112.660003662109,107.129997253418,108.559997558594,5651700,108.559997558594
2024-09-09,109.319999694824,111.48999786377,108.639999389648,109.959999084473,3674600,109.959999084473
2024-09-10,109.959999084473,110.76000213623,108.129997253418,110.269996643066,3380100,110.269996643066
2024-09-11,110.269996643066,112.309997558594,108.860000610352,112,4000900,112
