Index,COIN.Open,COIN.High,COIN.Low,COIN.Close,COIN.Volume,COIN.Adjusted
2022-05-20,69.370002746582,70.7399978637695,62.0499992370605,66.1500015258789,15166300,66.1500015258789
2022-05-23,65.5400009155273,68.6500015258789,62.3499984741211,66.0999984741211,12055700,66.0999984741211
2022-05-24,64.5599975585938,64.5599975585938,59.1199989318848,61.3600006103516,10714900,61.3600006103516
2022-05-25,61.0699996948242,68.5,60.9900016784668,67.1699981689453,11062000,67.1699981689453
2022-05-26,63.9700012207031,71.1699981689453,62.2999992370605,69.870002746582,12000200,69.870002746582
2022-05-27,69.8399963378906,77.1800003051758,69.8399963378906,75.3199996948242,14112800,75.3199996948242
2022-05-31,80,83.3199996948242,75.5999984741211,78.0999984741211,22623200,78.0999984741211
2022-06-01,77.5,77.8000030517578,67.8000030517578,68.629997253418,14608500,68.629997253418
2022-06-02,67.8000030517578,74.4800033569336,67.2799987792969,73.8199996948242,8607200,73.8199996948242
2022-06-03,69.3899993896484,70.5,65.6100006103516,66.6900024414062,10213600,66.6900024414062
2022-06-06,70.7600021362305,74.1100006103516,68.4300003051758,70.6699981689453,9352400,70.6699981689453
2022-06-07,67.3099975585938,69.9700012207031,64.3600006103516,69.5699996948242,8485100,69.5699996948242
2022-06-08,69.2300033569336,72.9800033569336,68.3000030517578,69.1999969482422,6276600,69.1999969482422
2022-06-09,69.0800018310547,69.379997253418,63.1199989318848,63.7599983215332,9349300,63.7599983215332
2022-06-10,60,61.6300010681152,57.7700004577637,58.7099990844727,10982600,58.7099990844727
2022-06-13,46.1800003051758,54.2999992370605,46,52.0099983215332,28961400,52.0099983215332
2022-06-14,52.5,53.2900009155273,48.810001373291,51.5800018310547,17430300,51.5800018310547
2022-06-15,50.939998626709,56.6599998474121,50.4500007629395,55.0099983215332,16340100,55.0099983215332
2022-06-16,52.5800018310547,54.4300003051758,50.0800018310547,51.0499992370605,13157700,51.0499992370605
2022-06-17,50.1199989318848,52.7999992370605,49.2799987792969,51.2200012207031,11771000,51.2200012207031
2022-06-21,54.2000007629395,60.75,54.0999984741211,57.4900016784668,16916200,57.4900016784668
2022-06-22,53.8699989318848,56.75,51.5699996948242,51.9099998474121,18947700,51.9099998474121
2022-06-23,53.5999984741211,59.6199989318848,51.8300018310547,58.8800010681152,15840700,58.8800010681152
2022-06-24,60,64.0899963378906,59.3300018310547,62.7099990844727,24381400,62.7099990844727
2022-06-27,59.560001373291,60.4500007629395,55.0200004577637,55.9599990844727,15201600,55.9599990844727
2022-06-28,56.2599983215332,57.25,50.3300018310547,51.1800003051758,10253500,51.1800003051758
2022-06-29,50.5,51.4599990844727,48.5900001525879,49.75,9776200,49.75
2022-06-30,48.2000007629395,48.4000015258789,44.1500015258789,47.0200004577637,12934400,47.0200004577637
2022-07-01,47.9900016784668,50.1599998474121,47.5200004577637,49.0400009155273,8556500,49.0400009155273
2022-07-05,48.1300010681152,55.8199996948242,45.9500007629395,55.4099998474121,13087900,55.4099998474121
2022-07-06,54.1699981689453,56.2700004577637,51.4000015258789,51.7099990844727,11881900,51.7099990844727
2022-07-07,52.1399993896484,57.6500015258789,52.1399993896484,57.4599990844727,12318500,57.4599990844727
2022-07-08,55.6100006103516,63.7000007629395,54.5099983215332,60.2900009155273,17950500,60.2900009155273
2022-07-11,57.5400009155273,58.4300003051758,53.2999992370605,53.8800010681152,10705800,53.8800010681152
2022-07-12,53.7000007629395,56.1100006103516,52.6199989318848,54.2400016784668,8466200,54.2400016784668
2022-07-13,51.6800003051758,54.7299995422363,50.4000015258789,53.0999984741211,9439900,53.0999984741211
2022-07-14,52.3400001525879,54.7099990844727,50.3400001525879,53.4199981689453,9682100,53.4199981689453
2022-07-15,54.3499984741211,56.5499992370605,51.9300003051758,53.7900009155273,10714300,53.7900009155273
2022-07-18,56.7099990844727,63.3800010681152,56.689998626709,58.6699981689453,21226200,58.6699981689453
2022-07-19,60.8600006103516,65.9800033569336,57.7799987792969,65.8300018310547,19210600,65.8300018310547
2022-07-20,67.0800018310547,79,67.0500030517578,75.2699966430664,34032000,75.2699966430664
2022-07-21,71,76.620002746582,70.2799987792969,73.9800033569336,17301200,73.9800033569336
